ID,Goles,Goles_de_no_penalti,Penaltis_convertidos,Penaltis_intentados,Tiros_de_falta,Goles,Tiros,Tiros_a_puerta,Porcent_tiros,Tiros/90,Tiros_a_puerta/90,Goles/tiros,Goles/tiros_a_puerta,Media_distancia_de_tiro
708,2,2,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
709,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
710,0,0,0,0,0,0,1,0,"0,00%",0.19,0.00,0.00,0,8.2
711,0,0,0,0,0,0,2,1,"50,00%",01.09,0.55,0.00,0.00,10.2
712,0,0,0,0,0,0,5,2,"40,00%",2.56,01.02,0.00,0.00,15.9
713,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
714,0,0,0,0,0,0,3,1,"33,33%",2.41,0.80,0.00,0.00,13.3
715,0,0,0,0,0,0,1,0,"0,00%",1.00,0.00,0.00,0,31.8
716,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
717,0,0,0,0,0,1,1,1,"100,00%",1.22,1.22,1.00,1.00,16.4
718,1,1,0,0,0,1,9,2,"22,22%",1.25,0.28,0.11,0.50,18.5
719,1,1,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
720,0,0,0,0,0,0,2,0,"0,00%",1.12,0.00,0.00,0,30.5
721,0,0,0,0,0,0,2,2,"100,00%",3.21,3.21,0.00,0.00,26.2
722,0,0,0,0,0,4,14,8,"57,14%",02.04,1.16,0.14,0.25,21.3
723,4,2,2,3,3,0,12,5,"41,67%",7.30,03.04,0.00,0.00,21.1
724,0,0,0,0,0,2,8,3,"37,50%",1.97,0.74,0.25,0.67,17.2
725,2,2,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
726,0,0,0,0,0,2,12,8,"66,67%",3.79,2.53,0.17,0.25,0
727,2,2,0,0,0,0,0,0,"0,00%",0,0,0,0,0
