ID,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Regates intentados,Regates completados,Porcent_regates,Defensa al regate,Porcent_defensa al regate,Conducciones,Distancia total conducciones,Distancia traslado progresivo,Distancia traslado progresivo,Conducciones ultimo 1/3,Conducciones al area,Error control,Perdida balon,Pases recibidos,Pases progresivos recibidos
361,4,0,0,4,0,0,4,0,0,"0,00%",0,"0,00%",4,22,13,0,0,0,0,0,4,0
362,0,0,0,0,0,0,0,0,0,"0,00%",0,"0,00%",0,0,0,0,0,0,0,0,0,0
363,132,0,4,56,72,8,132,13,2,"15,38%",6,"46,15%",69,488,221,8,6,2,5,6,93,27
364,435,9,49,153,245,65,432,73,35,"47,95%",31,"42,47%",291,2375,1341,52,26,30,27,16,314,82
365,121,3,18,67,37,6,121,1,0,"0,00%",1,"100,00%",72,314,162,5,3,1,6,3,76,8
366,163,0,14,64,85,15,163,10,2,"20,00%",7,"70,00%",79,491,212,8,9,2,7,4,121,23
367,191,1,13,89,93,6,190,29,19,"65,52%",8,"27,59%",141,1052,422,15,8,3,8,4,133,25
368,282,10,62,194,26,0,282,0,0,"0,00%",0,"0,00%",203,1144,824,7,5,0,1,0,228,0
369,5,0,0,1,4,0,5,0,0,"0,00%",0,"0,00%",0,0,0,0,0,0,2,0,0,0
370,2,2,2,0,0,0,2,0,0,"0,00%",0,"0,00%",0,0,0,0,0,0,0,0,0,0
371,330,18,84,219,31,1,330,4,3,"75,00%",1,"25,00%",204,1171,719,12,11,0,3,4,210,3
372,366,9,26,160,192,48,366,74,39,"52,70%",25,"33,78%",255,2401,1371,40,25,25,25,14,294,67
373,77,0,8,40,31,3,77,3,1,"33,33%",2,"66,67%",53,293,132,4,5,0,5,0,51,4
374,397,47,158,211,28,4,397,2,1,"50,00%",0,"0,00%",272,1410,823,10,7,1,2,0,294,10
375,143,3,40,63,41,2,143,2,0,"0,00%",1,"50,00%",70,306,132,3,5,0,2,1,76,11
376,225,8,52,117,57,11,225,5,2,"40,00%",2,"40,00%",74,336,136,2,3,0,3,4,125,10
377,187,6,7,55,126,45,187,8,3,"37,50%",3,"37,50%",127,605,258,11,6,6,5,11,150,46
378,106,1,9,64,33,4,106,3,2,"66,67%",0,"0,00%",79,380,182,4,2,2,1,0,87,8
379,526,49,242,263,23,2,526,0,0,"0,00%",0,"0,00%",405,1992,962,1,6,0,2,1,416,3
380,221,1,30,97,97,26,221,26,9,"34,62%",14,"53,85%",122,752,362,13,5,8,18,12,126,34
381,274,258,274,0,0,0,274,0,0,"0,00%",0,"0,00%",138,751,499,0,0,0,0,0,101,0
382,433,21,144,193,101,14,433,14,7,"50,00%",7,"50,00%",260,1266,820,21,12,4,15,6,257,25
383,139,2,30,63,48,3,139,3,1,"33,33%",2,"66,67%",84,499,304,9,10,0,7,4,100,14
384,192,168,192,0,0,0,192,0,0,"0,00%",0,"0,00%",122,609,348,0,0,0,1,0,87,0
385,31,0,3,14,15,6,31,3,3,"100,00%",0,"0,00%",19,107,45,2,1,1,0,3,20,3
386,702,26,177,466,69,0,702,19,6,"31,58%",5,"26,32%",517,2166,953,13,10,0,6,9,529,11
387,230,8,45,122,63,5,230,1,1,"100,00%",0,"0,00%",149,663,271,2,4,0,2,5,167,8
388,225,8,35,135,57,5,225,8,3,"37,50%",4,"50,00%",169,792,371,8,15,0,6,4,162,14
389,188,141,185,3,0,0,188,1,1,"100,00%",0,"0,00%",140,622,299,0,0,0,0,0,103,0
390,4,0,1,2,1,0,4,0,0,"0,00%",0,"0,00%",3,5,4,0,0,0,1,0,3,0
391,220,3,22,92,111,31,220,19,11,"57,89%",7,"36,84%",153,1248,651,24,9,10,10,5,158,54
392,664,24,161,427,79,7,664,4,3,"75,00%",1,"25,00%",416,1426,499,2,5,0,6,4,461,10
393,83,4,4,31,51,20,82,7,5,"71,43%",2,"28,57%",49,373,187,9,6,3,1,2,55,19
394,267,24,99,145,24,2,267,4,2,"50,00%",0,"0,00%",138,626,189,0,1,0,10,5,160,3
395,45,34,44,1,0,0,45,0,0,"0,00%",0,"0,00%",25,96,70,0,0,0,0,0,20,0
396,10,1,2,3,5,1,10,0,0,"0,00%",0,"0,00%",5,31,7,0,0,0,1,1,7,1
397,122,4,17,43,63,16,122,5,2,"40,00%",3,"60,00%",81,419,119,3,2,2,12,6,80,25
398,383,2,12,133,239,27,380,25,12,"48,00%",10,"40,00%",277,1705,729,25,20,8,11,10,301,63
399,280,215,279,1,0,0,280,0,0,"0,00%",0,"0,00%",152,914,560,0,0,0,0,0,129,0
400,82,3,13,30,41,8,82,8,4,"50,00%",4,"50,00%",60,385,240,7,6,4,4,4,56,17
401,429,17,119,255,60,5,429,8,3,"37,50%",4,"50,00%",281,1393,802,12,16,1,5,1,282,18
402,292,4,21,109,163,38,292,25,12,"48,00%",10,"40,00%",207,1242,702,27,9,9,17,8,223,67
403,210,32,135,68,7,2,210,1,0,"0,00%",1,"100,00%",136,542,319,2,2,0,0,0,145,3
404,190,24,109,80,1,0,190,1,0,"0,00%",0,"0,00%",133,664,443,2,0,0,2,0,147,0
405,334,29,150,172,12,4,334,1,0,"0,00%",1,"100,00%",231,904,437,2,2,0,1,0,250,1
406,4,0,0,2,2,0,4,0,0,"0,00%",0,"0,00%",3,14,9,0,0,0,0,0,4,1
407,6,0,2,1,3,0,6,0,0,"0,00%",0,"0,00%",2,4,3,0,0,0,1,0,3,0
408,587,12,59,282,258,26,582,22,14,"63,64%",7,"31,82%",426,2275,927,25,28,2,19,14,458,71
409,144,9,33,71,45,9,144,9,3,"33,33%",6,"66,67%",68,458,338,11,4,3,5,0,73,9
410,452,88,230,212,12,2,452,1,1,"100,00%",0,"0,00%",353,1740,838,1,2,0,0,1,326,0
411,38,7,28,9,1,0,38,0,0,"0,00%",0,"0,00%",26,168,90,0,1,0,1,0,24,0
412,381,10,44,178,167,50,381,28,10,"35,71%",14,"50,00%",210,930,380,11,11,6,40,15,254,50
413,61,1,4,27,30,9,61,1,1,"100,00%",0,"0,00%",34,168,110,4,1,3,3,2,39,10
414,141,4,46,70,25,0,141,3,2,"66,67%",1,"33,33%",103,572,278,3,5,0,1,0,98,2
415,73,0,10,45,20,0,73,2,1,"50,00%",1,"50,00%",38,317,78,1,2,0,1,0,38,0
416,204,11,66,115,25,12,204,3,1,"33,33%",1,"33,33%",125,979,730,7,8,1,3,2,152,1
417,34,0,6,13,15,1,34,4,1,"25,00%",3,"75,00%",27,218,107,5,3,2,3,3,24,10
418,517,135,367,152,0,0,517,3,1,"33,33%",2,"66,67%",351,1558,780,2,1,0,0,0,355,0
419,63,1,15,26,22,1,63,1,0,"0,00%",1,"100,00%",35,148,99,3,2,0,1,0,36,9
420,165,3,17,66,84,29,165,7,5,"71,43%",2,"28,57%",111,466,170,5,3,1,14,6,127,31
421,364,16,118,170,79,12,364,11,6,"54,55%",3,"27,27%",205,970,557,14,11,2,4,3,223,25
422,362,2,10,107,252,70,361,44,17,"38,64%",20,"45,45%",318,2434,1254,45,33,24,16,8,319,93
423,329,16,100,171,61,8,329,7,1,"14,29%",6,"85,71%",261,1474,854,12,17,2,7,3,243,13
424,11,1,4,4,3,0,11,0,0,"0,00%",0,"0,00%",6,20,7,0,0,0,0,0,7,0
425,214,202,214,0,0,0,214,0,0,"0,00%",0,"0,00%",112,508,249,0,0,0,1,0,103,0
426,178,5,27,113,40,2,178,2,1,"50,00%",1,"50,00%",124,544,217,2,4,0,1,2,134,7
427,191,7,34,100,57,7,191,5,2,"40,00%",2,"40,00%",95,528,293,7,2,2,5,5,129,13
428,34,34,34,0,0,0,34,0,0,"0,00%",0,"0,00%",18,102,39,0,0,0,0,0,20,0
429,538,70,320,208,10,4,538,0,0,"0,00%",0,"0,00%",373,1838,791,2,1,1,0,0,359,0
430,372,24,128,189,56,5,372,6,2,"33,33%",3,"50,00%",215,968,462,10,5,0,5,5,209,15
431,45,2,10,20,15,0,45,0,0,"0,00%",0,"0,00%",28,122,61,1,1,0,1,1,31,6
432,19,0,6,6,7,1,19,0,0,"0,00%",0,"0,00%",11,84,45,1,1,0,0,2,12,4
433,19,0,2,11,6,1,19,3,1,"33,33%",2,"66,67%",15,65,16,0,2,0,0,1,18,3
434,37,7,17,13,8,1,37,1,0,"0,00%",1,"100,00%",23,97,49,1,1,0,2,2,19,5
435,288,11,77,101,114,16,288,23,11,"47,83%",9,"39,13%",188,1133,541,14,12,5,9,4,176,29
436,26,21,26,0,0,0,26,0,0,"0,00%",0,"0,00%",19,72,39,0,0,0,0,0,18,0
437,324,10,81,148,97,0,324,4,2,"50,00%",1,"25,00%",237,1120,500,7,9,0,3,3,256,11
438,332,285,331,1,0,0,332,0,0,"0,00%",0,"0,00%",207,732,395,0,0,0,0,0,166,0
439,475,0,23,282,176,21,475,28,14,"50,00%",11,"39,29%",422,2326,1110,25,22,3,9,14,417,28
440,145,3,27,43,76,12,145,11,3,"27,27%",6,"54,55%",99,662,357,16,5,11,5,5,100,26
441,313,13,106,141,69,5,313,5,2,"40,00%",0,"0,00%",175,839,458,15,12,3,6,0,181,27
442,210,164,206,4,0,0,210,0,0,"0,00%",0,"0,00%",125,593,332,0,0,0,0,0,105,0
443,356,313,356,0,0,0,356,0,0,"0,00%",0,"0,00%",210,1064,583,0,0,0,1,0,146,0
444,112,0,7,50,57,13,112,3,1,"33,33%",2,"66,67%",72,319,142,6,5,0,5,5,93,23
445,572,107,313,237,29,7,572,7,3,"42,86%",3,"42,86%",354,1863,924,7,6,1,4,1,383,3
446,180,3,33,91,57,5,180,4,3,"75,00%",1,"25,00%",95,408,145,4,5,1,1,6,133,13
447,702,80,331,360,12,3,702,2,2,"100,00%",0,"0,00%",451,1920,1064,9,2,1,3,2,493,0
