ID,Pases_completados,Pases_intentados,Porcent_pases_completados,Distancia_total_pases,Distancia_progresiva_pase,Pases_cortos_completados,Pases_cortos_intentados,Porcent_pases_cortos,Pases_vivos,Pases_muertos,Pases_faltas,Pases_largos,Cambios_de_juego,Pases_cruzados,Lanzamientos_realizados,Saques_esquina,Saques_esquina_dentro,Saques_esquina_fuera,Saques_esquina_recto,Pases_fuera_juego,Pases_bloqueados
537,33,47,"70,21%",562,144,14,19,"73,68%",44,2,1,0,1,4,1,0,0,0,0,1,1
538,1,1,"100,00%",5,5,1,1,"100,00%",1,0,0,0,0,0,0,0,0,0,0,0,0
539,224,242,"92,56%",4380,1575,73,79,"92,41%",237,5,5,0,3,0,0,0,0,0,0,0,0
540,51,80,"63,75%",805,190,16,25,"64,00%",77,2,2,1,0,2,0,0,0,0,0,1,3
541,0,0,"0,00%",0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,0,0,0,0,0
542,126,184,"68,48%",2184,790,68,78,"87,18%",168,14,4,2,3,25,2,8,6,0,0,2,6
543,162,234,"69,23%",3022,965,71,86,"82,56%",179,53,15,0,3,22,34,4,0,3,0,2,6
544,23,32,"71,88%",512,219,9,12,"75,00%",21,11,2,0,0,8,6,3,0,3,0,0,0
545,6,14,"42,86%",101,29,4,8,"50,00%",14,0,0,0,0,1,0,0,0,0,0,0,1
546,50,61,"81,97%",623,183,35,38,"92,11%",57,4,0,0,0,1,4,0,0,0,0,0,0
547,204,240,"85,00%",3127,808,113,125,"90,40%",235,5,2,1,0,8,3,0,0,0,0,0,5
548,207,245,"84,49%",3994,1059,83,96,"86,46%",238,6,4,1,6,4,1,0,0,0,0,1,7
549,97,143,"67,83%",1281,161,64,88,"72,73%",139,3,0,1,0,5,0,0,0,0,0,1,4
550,511,550,"92,91%",9316,2840,211,218,"96,79%",522,25,16,1,3,1,9,0,0,0,0,3,0
551,3,3,"100,00%",55,5,2,2,"100,00%",2,1,1,0,0,0,0,0,0,0,0,0,0
552,127,180,"70,56%",2418,665,53,64,"82,81%",155,24,7,1,0,30,2,15,11,4,0,1,3
553,83,108,"76,85%",1478,293,38,44,"86,36%",97,11,1,1,2,9,0,6,3,2,0,0,3
554,289,350,"82,57%",4313,1095,159,175,"90,86%",291,59,10,0,1,39,41,8,1,6,0,0,6
555,59,96,"61,46%",1062,451,26,46,"56,52%",95,1,0,1,0,9,1,0,0,0,0,0,3
556,295,334,"88,32%",5124,1613,129,141,"91,49%",309,25,7,0,0,0,18,0,0,0,0,0,4
557,35,37,"94,59%",576,132,20,20,"100,00%",34,3,1,0,0,1,2,0,0,0,0,0,0
558,106,130,"81,54%",1827,442,46,52,"88,46%",105,23,4,0,0,1,19,0,0,0,0,2,5
559,80,99,"80,81%",1068,249,50,55,"90,91%",92,7,2,0,0,4,0,0,0,0,0,0,4
560,132,170,"77,65%",1884,436,72,86,"83,72%",157,13,1,0,0,11,7,5,3,1,0,0,4
561,77,109,"70,64%",1053,330,38,51,"74,51%",108,1,0,1,1,1,0,0,0,0,0,0,7
562,159,194,"81,96%",2677,1003,73,78,"93,59%",163,31,11,0,2,13,20,0,0,0,0,0,7
563,5,5,"100,00%",83,9,2,2,"100,00%",5,0,0,0,0,0,0,0,0,0,0,0,0
564,173,189,"91,53%",2580,598,91,95,"95,79%",174,15,1,0,1,3,13,0,0,0,0,0,1
565,229,292,"78,42%",3723,1114,125,133,"93,98%",244,47,3,0,1,32,29,15,3,11,0,1,5
566,4,6,"66,67%",111,41,1,1,"100,00%",5,1,0,0,1,1,0,1,0,1,0,0,0
567,157,196,"80,10%",2332,622,93,107,"86,92%",191,5,5,1,0,2,0,0,0,0,0,0,6
568,912,993,"91,84%",16873,3553,373,397,"93,95%",976,16,14,0,12,3,2,0,0,0,0,1,13
569,312,366,"85,25%",3346,680,217,237,"91,56%",353,11,1,4,4,12,1,3,1,0,0,2,6
570,389,434,"89,63%",6596,2315,168,182,"92,31%",410,24,17,1,2,1,7,0,0,0,0,0,5
571,372,413,"90,07%",6521,1529,153,166,"92,17%",400,13,10,0,4,1,3,0,0,0,0,0,7
572,39,55,"70,91%",547,239,23,32,"71,88%",43,12,0,0,0,1,12,0,0,0,0,0,2
573,438,492,"89,02%",8805,3376,133,142,"93,66%",472,19,19,1,7,2,0,0,0,0,0,1,2
574,368,402,"91,54%",6752,2147,153,159,"96,23%",394,8,5,0,8,0,1,0,0,0,0,0,1
575,48,55,"87,27%",798,340,19,20,"95,00%",55,0,0,0,0,1,0,0,0,0,0,0,0
576,252,317,"79,50%",4175,1419,137,146,"93,84%",257,60,11,2,4,16,42,7,1,5,0,0,9
577,186,209,"89,00%",2518,807,118,126,"93,65%",198,11,1,1,1,0,10,0,0,0,0,0,3
578,12,15,"80,00%",130,26,8,10,"80,00%",13,2,0,0,0,1,0,0,0,0,0,0,0
579,37,65,"56,92%",1330,1037,4,4,"100,00%",46,19,3,0,0,0,0,0,0,0,0,0,0
580,2,3,"66,67%",45,29,1,2,"50,00%",2,1,0,0,0,0,1,0,0,0,0,0,0
581,128,149,"85,91%",1940,461,72,84,"85,71%",148,1,1,0,0,1,0,0,0,0,0,0,1
582,99,141,"70,21%",1464,327,54,72,"75,00%",127,13,0,0,0,13,10,0,0,0,0,1,1
583,36,52,"69,23%",498,119,23,26,"88,46%",48,4,0,0,0,8,2,0,0,0,0,0,6
584,182,223,"81,61%",2438,622,99,110,"90,00%",214,7,0,6,1,10,6,0,0,0,0,2,2
585,124,153,"81,05%",2437,852,38,42,"90,48%",153,0,0,0,1,1,0,0,0,0,0,0,1
586,102,106,"96,23%",1520,421,60,61,"98,36%",104,2,2,0,0,0,0,0,0,0,0,0,2
587,108,133,"81,20%",1551,212,66,75,"88,00%",124,9,1,1,2,5,0,0,0,0,0,0,5
588,11,19,"57,89%",197,62,4,6,"66,67%",18,0,0,0,0,1,0,0,0,0,0,1,0
589,0,0,"0,00%",0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,0,0,0,0,0
590,175,196,"89,29%",3105,909,82,84,"97,62%",181,14,2,0,3,5,12,0,0,0,0,1,1
591,159,189,"84,13%",3020,791,64,73,"87,67%",184,4,3,0,3,0,0,0,0,0,0,1,2
592,215,258,"83,33%",3025,758,137,156,"87,82%",250,6,0,4,0,7,0,6,6,0,0,2,3
593,127,151,"84,11%",2248,366,61,67,"91,04%",117,34,5,0,2,12,25,4,0,3,1,0,3
594,221,305,"72,46%",3590,1297,111,128,"86,72%",235,70,6,0,1,8,62,2,2,0,0,0,6
595,10,12,"83,33%",117,23,6,6,"100,00%",12,0,0,0,0,0,0,0,0,0,0,0,0
596,17,26,"65,38%",224,77,7,8,"87,50%",20,6,1,0,0,5,0,5,0,5,0,0,3
597,183,205,"89,27%",3474,1251,65,65,"100,00%",196,9,6,0,1,1,3,0,0,0,0,0,2
598,74,94,"78,72%",1036,256,44,55,"80,00%",92,2,0,0,0,0,0,0,0,0,0,0,2
599,6,6,"100,00%",60,22,4,4,"100,00%",6,0,0,0,0,0,0,0,0,0,0,0,0
600,317,358,"88,55%",5336,1648,153,167,"91,62%",352,5,4,5,4,0,1,0,0,0,0,1,5
601,338,389,"86,89%",6492,2112,133,145,"91,72%",378,11,11,0,15,0,0,0,0,0,0,0,0
602,158,188,"84,04%",2883,1048,60,68,"88,24%",178,8,4,0,2,0,4,0,0,0,0,2,2
603,191,260,"73,46%",3144,1172,101,130,"77,69%",238,20,7,0,1,18,1,12,9,2,0,2,5
604,53,88,"60,23%",628,87,38,57,"66,67%",88,0,0,0,0,1,0,0,0,0,0,0,6
605,33,48,"68,75%",501,175,17,19,"89,47%",37,10,1,1,0,3,9,0,0,0,0,1,0
606,35,51,"68,63%",464,131,19,27,"70,37%",47,4,0,0,0,3,1,3,3,0,0,0,1
607,24,27,"88,89%",345,37,9,10,"90,00%",24,3,0,0,0,1,0,0,0,0,0,0,1
608,133,170,"78,24%",1738,361,78,92,"84,78%",151,18,1,3,0,3,3,0,0,0,0,1,5
609,528,574,"91,99%",11028,3748,152,158,"96,20%",556,18,15,0,3,0,3,0,0,0,0,0,3
610,553,626,"88,34%",9044,1814,284,306,"92,81%",603,22,8,0,4,19,12,2,0,0,0,1,16
611,264,318,"83,02%",3738,664,151,174,"86,78%",292,26,3,1,2,9,4,0,0,0,0,0,4
612,388,433,"89,61%",8161,3282,107,119,"89,92%",419,14,13,0,5,0,1,0,0,0,0,0,2
613,267,347,"76,95%",4320,1377,148,172,"86,05%",289,57,7,0,1,9,50,0,0,0,0,1,8
614,48,67,"71,64%",589,78,30,38,"78,95%",66,1,0,0,0,4,0,0,0,0,0,0,3
615,3,5,"60,00%",40,1,2,4,"50,00%",5,0,0,0,0,0,0,0,0,0,0,0,0
616,108,123,"87,80%",1659,548,54,56,"96,43%",121,2,1,0,0,2,1,0,0,0,0,0,0
617,174,197,"88,32%",2958,1131,78,80,"97,50%",192,5,5,0,5,1,0,0,0,0,0,0,1
618,68,99,"68,69%",1228,440,37,46,"80,43%",88,11,4,0,0,20,2,5,5,0,0,0,4
619,314,344,"91,28%",5695,1678,122,128,"95,31%",320,23,10,0,0,0,13,0,0,0,0,1,4
620,38,51,"74,51%",943,317,7,11,"63,64%",47,4,4,0,1,0,0,0,0,0,0,0,1
621,43,59,"72,88%",685,347,21,25,"84,00%",44,15,2,0,0,7,12,1,1,0,0,0,1
622,62,70,"88,57%",946,242,29,35,"82,86%",68,2,1,0,0,2,0,1,0,1,0,0,0
