ID,Jugador,Pais,Equipo,Posicion,Edad,Nacimiento,Partidos_jugados,Partidos_titular,Minutos_totales,90s,Tarjetas_amarillas,Tarjetas_rojas,Segundas_tarjetas_amarillas,Faltas_comprometidas,Faltas_pitadas,Fuera_de_juego
541,Suf Podgoreanu,IL,Maccabi Haifa,DF,20,2002,1,0,12,"0,13",0,0,0,0,1,0
542,Matteo Politano,IT,Napoli ,FW,28,1993,9,6,403,"4,48",2,0,0,4,5,1
543,Pedro Porro,PT,Sporting CP,"DF,MF",22,1999,5,4,392,"4,36",1,0,0,4,7,0
544,Pedro Porro,ENG,Tottenham ,DF,22,1999,1,0,38,"0,42",0,0,0,1,0,0
545,Yussuf Poulsen,DE,RB Leipzig,"FW,MF",28,1994,5,0,72,"0,80",0,0,0,1,0,0
546,Christian Pulisic,ENG,Chelsea ,"DF,FW",23,1998,5,1,113,"1,26",0,0,0,2,3,1
547,Adrien Rabiot,IT,Juventus ,MF,27,1995,5,5,446,"4,96",0,0,0,10,5,1
548,Ivan Rakitić,ES,Sevilla ,MF,34,1988,6,6,418,"4,64",0,0,0,2,6,0
549,Gonçalo Ramos,PT,Benfica ,FW,21,2001,10,10,712,"7,91",2,0,0,11,10,2
550,Sergio Ramos,FR,Paris S-G,DF,36,1986,8,8,720,"8,00",2,0,0,4,3,1
551,Calvin Ramsay,ENG,Liverpool ,DF,19,2003,1,0,4,"0,04",0,0,0,0,1,0
552,Raphinha,ES,Barcelona ,FW,25,1996,5,4,294,"3,27",0,0,0,5,2,1
553,Giacomo Raspadori,IT,Napoli ,FW,22,2000,7,3,250,"2,78",1,0,0,4,5,1
554,David Raum,DE,RB Leipzig,DF,24,1998,8,6,531,"5,90",0,0,0,6,3,2
555,Ante Rebić,IT,Milan ,"FW,MF",28,1993,7,2,249,"2,77",0,0,0,9,1,0
556,Matheus Reis,PT,Sporting CP,DF,27,1995,6,5,509,"5,66",2,0,0,6,5,0
557,Karim Rekik,ES,Sevilla ,DF,27,1994,1,1,90,"1,00",0,0,0,0,0,0
558,Devyne Rensch,NL,Ajax ,DF,19,2003,4,3,287,"3,19",1,0,0,2,1,0
559,Marco Reus,DE,Dortmund ,"MF,FW",33,1989,3,3,262,"2,91",0,0,0,4,1,1
560,Gio Reyna,DE,Dortmund ,"FW,MF",19,2002,6,3,383,"4,26",0,0,0,2,7,3
561,Richarlison,ENG,Tottenham ,"MF,FW",25,1997,6,4,365,"4,06",0,0,0,5,9,3
562,Stefan Ristovski,HR,Dinamo Zagreb,DF,30,1992,5,5,370,"4,11",1,0,0,2,7,0
563,Mats Rits,BE,Club Brugge,MF,29,1993,1,0,17,"0,19",0,0,0,0,0,0
564,Sergi Roberto,ES,Barcelona ,DF,30,1992,3,3,206,"2,29",1,0,0,0,0,0
565,Andrew Robertson,ENG,Liverpool ,DF,28,1994,5,4,378,"4,20",0,0,0,0,0,0
566,Rochinha,PT,Sporting CP,"MF,FW",27,1995,1,0,18,"0,20",0,0,0,0,1,0
567,Sebastian Rode,DE,Eint Frankfurt,MF,31,1990,6,3,299,"3,32",0,0,0,5,5,0
568,Rodri,ENG,Manchester City,MF,26,1996,12,11,995,"11,06",1,0,0,13,6,0
569,Rodrygo,ES,Real Madrid,FW,21,2001,12,10,819,"9,10",0,0,0,4,12,2
570,Cristian Romero,ENG,Tottenham ,DF,24,1998,7,7,598,"6,64",4,1,1,7,1,1
571,Valentin Rongier,FR,Marseille ,MF,27,1994,6,5,471,"5,23",0,0,0,14,4,0
572,Tom Rothe,DE,Dortmund ,DF,17,2004,3,1,61,"0,68",0,0,0,0,0,0
573,Amir Rrahmani,IT,Napoli ,DF,28,1994,7,7,613,"6,81",2,0,0,7,2,0
574,Antonio Rüdiger,ES,Real Madrid,DF,29,1993,10,6,678,"7,53",0,0,0,3,0,0
575,Daniele Rugani,IT,Juventus ,DF,28,1994,1,1,90,"1,00",0,0,0,0,0,0
576,Mário Rui,IT,Napoli ,DF,31,1991,6,5,386,"4,29",1,0,0,7,5,0
577,Fabián Ruiz Peña,FR,Paris S-G,MF,26,1996,7,3,238,"2,64",1,0,0,4,4,0
578,Nikita Rukavytsya,IL,Maccabi Haifa,"FW,MF",35,1987,6,0,47,"0,52",0,0,0,0,0,1
579,Mathew Ryan,DK,FC Copenhagen,GK,30,1992,2,2,180,"2,00",0,0,0,0,0,0
580,Julian Ryerson,DE,Dortmund ,DF,24,1997,1,0,18,"0,20",1,0,0,1,1,0
581,Marcel Sabitzer,DE,Bayern Munich,MF,28,1994,6,3,280,"3,11",3,0,0,5,8,0
582,Alexis Saelemaekers,IT,Milan ,"FW,DF",23,1999,8,4,371,"4,12",1,0,0,8,5,0
583,Fashion Sakala,SCT,Rangers ,"FW,MF",25,1997,4,2,235,"2,61",0,0,0,2,6,2
584,Mohamed Salah,ENG,Liverpool ,FW,30,1992,8,7,624,"6,93",0,0,0,2,3,4
585,Kike Salas,ES,Sevilla ,DF,20,2002,2,2,180,"2,00",1,0,0,3,1,0
586,Renato Sanches,FR,Paris S-G,MF,24,1997,3,1,141,"1,57",0,0,0,3,3,0
587,Alexis Sánchez,FR,Marseille ,FW,33,1988,5,5,418,"4,64",0,0,0,7,10,15
588,Davinson Sánchez,ENG,Tottenham ,DF,26,1996,2,0,21,"0,23",0,0,0,1,0,0
589,Cisse Sandra,BE,Club Brugge,FW,18,2003,1,0,8,"0,09",0,0,0,0,0,0
590,Alex Sandro,IT,Juventus ,DF,31,1991,4,2,239,"2,66",1,0,0,3,5,0
591,James Sands,SCT,Rangers ,"DF,MF",22,2000,4,4,324,"3,60",2,1,1,8,2,0
592,Leroy Sané,DE,Bayern Munich,"FW,MF",26,1996,8,7,552,"6,13",0,0,0,4,2,1
593,Nuno Santos,PT,Sporting CP,"DF,MF",27,1995,6,5,295,"3,28",1,0,0,2,6,0
594,Zaidu Sanusi,PT,Porto ,DF,25,1997,8,7,585,"6,50",0,0,0,3,1,1
595,Alvaro Sanz,ES,Barcelona ,MF,21,2001,1,0,14,"0,16",0,0,0,0,0,0
596,Pablo Sarabia,FR,Paris S-G,MF,30,1992,3,1,91,"1,01",1,0,0,1,1,0
597,Stefan Savić,ES,Atlético Madrid,DF,31,1991,3,3,270,"3,00",3,0,0,2,1,0
598,Patrik Schick,DE,Leverkusen ,FW,26,1996,5,5,446,"4,96",0,0,0,4,3,3
599,Andreas Schjelderup,PT,Benfica ,FW,18,2004,1,0,2,"0,02",0,0,0,0,0,0
600,Xaver Schlager,DE,RB Leipzig,MF,24,1997,7,7,583,"6,48",1,0,0,9,3,0
601,Nico Schlotterbeck,DE,Dortmund ,DF,22,1999,8,6,561,"6,23",0,0,0,1,6,0
602,Abdoulaye Seck,IL,Maccabi Haifa,DF,30,1992,6,4,397,"4,41",2,0,0,3,1,0
603,Nicolas Seiwald,AT,RB Salzburg,MF,21,2001,6,6,540,"6,00",0,0,0,4,2,0
604,Benjamin Šeško,AT,RB Salzburg,FW,19,2003,6,3,330,"3,67",0,0,0,5,3,2
