ID,Entradas,Entradas_ganadas,Entradas_defensa,Entradas_medio_campo,Entradas_ataque,Regates_parados,Regates_recibidos,Porcent_regates_parados,Regates_perdidos,Bloqueos,Disparos_bloqueados,Pases_bloqueados,Intercepciones,Intercepciones_intentadas,Despejes,Errores,Duelos_aereos_ganados,Duelos_aereos_perdidos,Porcent_duelos_aereos
714,3,1,1,1,1,1,2,"50,00%",1,0,0,0,1,4,2,0,0,2,"0,00%"
715,1,1,0,0,1,0,1,"0,00%",1,1,0,1,0,1,0,0,2,3,"40,00%"
716,1,0,1,0,0,0,2,"0,00%",2,0,0,0,3,4,2,0,0,0,"0,00%"
717,2,2,1,1,0,2,5,"40,00%",3,0,0,0,0,2,0,0,0,2,"0,00%"
718,1,1,1,0,0,1,2,"50,00%",1,0,0,0,2,3,1,0,0,0,"0,00%"
719,14,8,4,5,5,4,8,"50,00%",4,5,1,4,14,28,5,0,8,7,"53,33%"
720,2,2,2,0,0,1,1,"100,00%",0,0,0,0,1,3,0,0,1,1,"50,00%"
721,4,0,2,2,0,2,6,"33,33%",4,7,1,6,3,7,2,0,3,1,"75,00%"
722,2,1,0,1,1,0,1,"0,00%",1,4,1,3,0,2,0,0,0,0,"0,00%"
723,8,4,0,6,2,0,2,"0,00%",2,3,0,3,4,12,4,1,1,4,"20,00%"
724,0,0,0,0,0,0,4,"0,00%",4,6,1,5,2,2,0,0,0,2,"0,00%"
725,7,4,4,2,1,0,2,"0,00%",2,4,0,4,4,11,3,0,2,4,"33,33%"
726,1,0,0,0,1,0,0,"0,00%",0,1,1,0,4,5,2,0,0,0,"0,00%"
727,0,0,0,0,0,0,0,"0,00%",0,0,0,0,3,0,0,0,0,0,"0,00%"
